surface,kind,location,route,current_title,content_purpose,target_user,accurate,duplicated,outdated,too_detailed,unclear,needed_in_current_workflow,belongs_in,recommended_action,source_words,source_lines,dialog_markers,tooltip_markers,notification_markers,empty_state_markers,loading_state_markers,claim_markers
website,route,apps/website/app/about/page.tsx,/about,Page,Primary content for Page,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,359,58,0,0,0,0,0,2
website,route,apps/website/app/agents/page.tsx,/agents,Page,Primary content for Page,Prospective and evaluating customers,Unverified,See duplicate-content.csv,Possible,Review,Review in context,Not workflow-bound,website,REQUIRES PRODUCT CONFIRMATION,517,151,0,0,0,0,0,3
website,route,apps/website/app/compare/page.tsx,/compare,Page,Primary content for Page,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,499,139,0,0,0,0,0,0
website,route,apps/website/app/connectors/page.tsx,/connectors,Page,Primary content for Page,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,637,183,0,0,0,0,0,2
website,route,apps/website/app/contact/page.tsx,/contact,Page,Primary content for Page,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,369,63,0,0,0,0,0,0
website,route,apps/website/app/developers/page.tsx,/developers,Page,Primary content for Page,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,407,68,0,0,0,0,0,0
website,route,apps/website/app/integrations/page.tsx,/integrations,Page,Primary content for Page,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,423,143,0,0,0,0,0,0
website,layout,apps/website/app/layout.tsx,/,Layout,"Shared navigation, metadata, or layout content",Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,319,116,0,0,0,0,0,0
website,component,apps/website/app/legal/legal-client.tsx,,Legal Client,Reusable content for Legal Client,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,185,66,0,0,0,0,0,0
website,route,apps/website/app/legal/page.tsx,/legal,Page,Primary content for Page,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,50,16,0,0,0,0,0,0
website,component,apps/website/app/not-found.tsx,,This route ends here.,Reusable content for This route ends here.,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,206,57,0,0,0,0,0,0
website,route,apps/website/app/page.tsx,/,Page,Primary content for Page,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,21,10,0,0,0,0,0,0
website,route,apps/website/app/pricing/page.tsx,/pricing,Page,Primary content for Page,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,55,16,0,0,0,0,0,0
website,component,apps/website/app/pricing/pricing-client.tsx,,"Simple, transparent pricing","Reusable content for Simple, transparent pricing",Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,1030,363,0,0,0,0,0,3
website,route,apps/website/app/privacy/page.tsx,/privacy,Page,Primary content for Page,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,46,16,0,0,0,0,0,0
website,component,apps/website/app/privacy/privacy-client.tsx,,Privacy Client,Reusable content for Privacy Client,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,613,155,0,0,0,0,0,0
website,route,apps/website/app/subprocessors/page.tsx,/subprocessors,Page,Primary content for Page,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,47,16,0,0,0,0,0,0
website,component,apps/website/app/subprocessors/subprocessors-client.tsx,,Subprocessors Client,Reusable content for Subprocessors Client,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,475,162,0,0,0,0,0,0
website,route,apps/website/app/terms/page.tsx,/terms,Page,Primary content for Page,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,46,15,0,0,0,0,0,0
website,component,apps/website/app/terms/terms-client.tsx,,Terms Client,Reusable content for Terms Client,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,689,151,0,0,0,0,0,0
website,component,apps/website/components/animated-noise.tsx,,Animated Noise,Reusable content for Animated Noise,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,205,81,0,0,0,0,0,0
website,component,apps/website/components/bitmap-chevron.tsx,,Bitmap Chevron,Reusable content for Bitmap Chevron,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,39,20,0,0,0,0,0,0
website,component,apps/website/components/colophon-section.tsx,,Colophon Section,Reusable content for Colophon Section,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,8,2,0,0,0,0,0,0
website,content-source,apps/website/components/commit-graph-layout.ts,,Commit Graph Layout,Reusable content for Commit Graph Layout,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,357,137,0,0,0,0,0,0
website,component,apps/website/components/commit-graph.tsx,,Commit Graph,Reusable content for Commit Graph,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Likely,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,1284,481,0,0,0,0,0,0
website,component,apps/website/components/core-features-section.tsx,,Core Features Section,Reusable content for Core Features Section,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,133,52,0,0,0,0,0,0
website,component,apps/website/components/cta-section.tsx,,Cta Section,Reusable content for Cta Section,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,464,147,0,0,0,0,0,0
website,component,apps/website/components/draw-text.tsx,,))},Reusable content for ))},Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,377,154,0,0,0,0,0,0
website,component,apps/website/components/features-accordion-section.tsx,,Features Accordion Section,Reusable content for Features Accordion Section,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,675,254,0,0,0,0,0,0
website,component,apps/website/components/footer.tsx,,Footer,Reusable content for Footer,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,382,146,0,0,0,0,0,0
website,component,apps/website/components/hero-section.tsx,,Hero Section,Reusable content for Hero Section,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,725,256,0,0,0,0,0,1
website,component,apps/website/components/highlight-text.tsx,,Highlight Text,Reusable content for Highlight Text,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,206,95,0,0,0,0,0,0
website,component,apps/website/components/home/home-hero.tsx,,The clear path for your data.,Reusable content for The clear path for your data.,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,214,65,0,0,0,0,0,1
website,component,apps/website/components/home/home-latest.tsx,,Home Latest,Reusable content for Home Latest,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,236,74,0,0,0,0,0,0
website,component,apps/website/components/home/home-story.tsx,,Home Story,Reusable content for Home Story,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,935,277,0,0,0,0,0,0
website,component,apps/website/components/integrations-section.tsx,,Integrations Section,Reusable content for Integrations Section,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,125,53,0,0,0,0,0,0
website,component,apps/website/components/kibo-ui/pill/index.tsx,,Index,Reusable content for Index,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,412,171,0,0,0,0,0,0
website,component,apps/website/components/log-viewer-minimal.tsx,,Log Viewer Minimal,Reusable content for Log Viewer Minimal,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,220,102,0,0,0,0,0,1
website,component,apps/website/components/log-viewer-shared.tsx,,Log Viewer Shared,Reusable content for Log Viewer Shared,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,628,234,0,0,0,0,0,0
website,component,apps/website/components/log-viewer.tsx,,Log Viewer,Reusable content for Log Viewer,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,1110,494,0,0,0,0,0,2
website,component,apps/website/components/logo.tsx,,Logo,Reusable content for Logo,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,52,25,0,0,0,0,0,0
website,component,apps/website/components/marketing/announcement-pill.tsx,,Announcement Pill,Reusable content for Announcement Pill,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,91,37,0,0,0,0,0,0
website,component,apps/website/components/marketing/brand-icons.tsx,,Brand Icons,Reusable content for Brand Icons,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,869,334,0,0,0,0,0,0
website,component,apps/website/components/marketing/connector-icon.tsx,,Connector Icon,Reusable content for Connector Icon,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,200,88,0,0,0,0,0,0
