occurrences,content,locations,recommended_action
4,unsupported for hubspot the supported connector path is dltbased hubspot existing postgresql only this file is retained as historical reference and must not be used as an acceptance test,md-docs/manual-testing/pipelines/saas/12-hubspot-to-mysql.md | md-docs/manual-testing/pipelines/saas/13-hubspot-to-mariadb.md | md-docs/manual-testing/pipelines/saas/14-hubspot-to-sqlite.md | md-docs/manual-testing/pipelines/saas/15-hubspot-to-cockroachdb.md,MERGE WITH ANOTHER PAGE
3,no dlt tables select table name from information schematables where table schema analytics and table name like dlt must return 0 rows,md-docs/manual-testing/destinations/cockroachdb.md | md-docs/manual-testing/destinations/mariadb.md | md-docs/manual-testing/destinations/mysql.md,MERGE WITH ANOTHER PAGE
3,use postgresql destination connectionsdestinationspostgresql for the supported live destination workflow,apps/mantrixflow-docs/connections/destinations/cockroachdb.mdx | apps/mantrixflow-docs/connections/destinations/mariadb.mdx | apps/mantrixflow-docs/connections/destinations/sqlite.mdx,MERGE WITH ANOTHER PAGE
3,use postgresql source connectionssourcesdatabasepostgresql for the supported live source workflow,apps/mantrixflow-docs/connections/sources/database/cockroachdb.mdx | apps/mantrixflow-docs/connections/sources/database/mariadb.mdx | apps/mantrixflow-docs/connections/sources/database/sqlite.mdx,MERGE WITH ANOTHER PAGE
2,stream 19 stripecustomers bank accounts create table analyticsstripe bank accounts account id varchar255 primary key customer ref varchar255 bank name varchar255 routing num varchar50 last4 varchar10 account type varchar50 acct status varchar50 currency varchar10 engineinnodb,md-docs/manual-testing/pipelines/saas/02-stripe-to-mysql.md | md-docs/manual-testing/pipelines/saas/03-stripe-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsshopify orders order id bigint primary key customer email varchar255 order total decimal102 currency varchar10 order status varchar50 fulfil status varchar50 ship city varchar255 ship country varchar10 item count int ordered on date engineinnodb,md-docs/manual-testing/pipelines/saas/07-shopify-to-mysql.md | md-docs/manual-testing/pipelines/saas/08-shopify-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,sql create table analyticshs contacts contact id varchar255 primary key email varchar255 full name varchar500 phone varchar50 lead status varchar100 lifecycle varchar100 owner id varchar255 created on date updated on date engineinnodb default charsetutf8mb4,md-docs/manual-testing/pipelines/saas/12-hubspot-to-mysql.md | md-docs/manual-testing/pipelines/saas/13-hubspot-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsfact orders order id varchar36 primary key customer ref varchar36 order amount decimal102 order status varchar50 payment method varchar100 channel varchar100 currency varchar10 is high value tinyint1 placed on date engineinnodb,md-docs/manual-testing/pipelines/db/27-postgres-to-mysql.md | md-docs/manual-testing/pipelines/db/28-postgres-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,text pipeline httpsb7c9240940c150113ea3283661f91495f47cngrokfreeappapislackcommands connection httpsb7c9240940c150113ea3283661f91495f47cngrokfreeappapislackcommands mantrixflow httpsb7c9240940c150113ea3283661f91495f47cngrokfreeappapislackcommands,md-docs/integrations/connectors/slack-guide.md | md-docs/manual-testing/slack-pipeline-e2e.md,MERGE WITH ANOTHER PAGE
2,sql create table analyticsevent facts event id bigint primary key actor id varchar100 action varchar100 client ip varchar45 browser varchar255 http status int is success tinyint1 event date date event hour int engineinnodb default charsetutf8mb4,md-docs/manual-testing/pipelines/db/37-mariadb-to-mysql.md | md-docs/manual-testing/pipelines/db/38-mariadb-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,sql create table analyticsdim users user uuid varchar36 primary key email address varchar255 full name varchar500 city varchar255 country varchar100 account tier varchar50 registered on date last active date engineinnodb default charsetutf8mb4,md-docs/manual-testing/pipelines/db/27-postgres-to-mysql.md | md-docs/manual-testing/pipelines/db/28-postgres-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,sql create table analyticsgh issues issue id bigint primary key issue number int title text state varchar20 author login varchar255 label name varchar255 is closed tinyint1 opened on date closed on date engineinnodb default charsetutf8mb4,md-docs/manual-testing/pipelines/saas/17-github-to-mysql.md | md-docs/manual-testing/pipelines/saas/18-github-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsgh pull requests pr id bigint primary key pr number int title text state varchar20 author login varchar255 head branch varchar255 base branch varchar255 is merged tinyint1 opened on date merged on date engineinnodb,md-docs/manual-testing/pipelines/saas/17-github-to-mysql.md | md-docs/manual-testing/pipelines/saas/18-github-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticshs companies company id varchar255 primary key company name varchar500 website varchar255 sector varchar255 city varchar255 country varchar100 annual rev decimal152 headcount int created on date engineinnodb,md-docs/manual-testing/pipelines/saas/12-hubspot-to-mysql.md | md-docs/manual-testing/pipelines/saas/13-hubspot-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,sql create table analyticsshopify products product id bigint primary key product name varchar500 brand varchar255 category varchar255 is published tinyint1 listed on date updated on date engineinnodb default charsetutf8mb4,md-docs/manual-testing/pipelines/saas/07-shopify-to-mysql.md | md-docs/manual-testing/pipelines/saas/08-shopify-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticshs tickets ticket id varchar255 primary key ticket name varchar500 category varchar100 priority varchar50 ticket stage varchar100 owner id varchar255 created on date closed on date engineinnodb,md-docs/manual-testing/pipelines/saas/12-hubspot-to-mysql.md | md-docs/manual-testing/pipelines/saas/13-hubspot-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,mantrixflowinfradocssetupguidemd infrastructuresetupovhdokploymicrosandboxmd mantrixflowinfradeploymentmd infrastructureovhmicrosandboxrunbookmd mantrixflowinfradocsgithubactionsmd infrastructurecicdgithubactionsmd,md-docs/deployment/services/go-api-simulation-manager.md | md-docs/deployment/services/python-elt-simulation-runtime.md,MERGE WITH ANOTHER PAGE
2,create table analyticsshopify draft orders draft id bigint primary key customer ref varchar50 draft total decimal102 currency varchar10 draft status varchar50 created on date has invoice tinyint1 engineinnodb,md-docs/manual-testing/pipelines/saas/07-shopify-to-mysql.md | md-docs/manual-testing/pipelines/saas/08-shopify-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticshs deals deal id varchar255 primary key deal name varchar500 deal value decimal122 stage varchar100 pipeline varchar255 close date date owner id varchar255 days to close int engineinnodb,md-docs/manual-testing/pipelines/saas/12-hubspot-to-mysql.md | md-docs/manual-testing/pipelines/saas/13-hubspot-to-mariadb.md,MERGE WITH ANOTHER PAGE
