surface,kind,location,route,current_title,content_purpose,target_user,accurate,duplicated,outdated,too_detailed,unclear,needed_in_current_workflow,belongs_in,recommended_action,source_words,source_lines,dialog_markers,tooltip_markers,notification_markers,empty_state_markers,loading_state_markers,claim_markers
website,route,apps/website/app/agents/page.tsx,/agents,Page,Primary content for Page,Prospective and evaluating customers,Unverified,See duplicate-content.csv,Possible,Review,Review in context,Not workflow-bound,website,REQUIRES PRODUCT CONFIRMATION,411,112,0,0,0,0,0,4
website,route,apps/website/app/compare/page.tsx,/compare,Page,Primary content for Page,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,388,106,0,0,0,0,0,1
website,route,apps/website/app/connectors/page.tsx,/connectors,Page,Primary content for Page,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,180,49,0,0,0,0,0,7
website,route,apps/website/app/integrations/page.tsx,/integrations,Page,Primary content for Page,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,370,120,0,0,0,0,0,0
website,layout,apps/website/app/layout.tsx,/,Layout,"Shared navigation, metadata, or layout content",Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,258,100,0,0,0,0,0,0
website,component,apps/website/app/legal/legal-client.tsx,,Legal Client,Reusable content for Legal Client,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,181,65,0,0,0,0,0,0
website,route,apps/website/app/legal/page.tsx,/legal,Page,Primary content for Page,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,50,16,0,0,0,0,0,0
website,route,apps/website/app/page.tsx,/,Page,Primary content for Page,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,21,10,0,0,0,0,0,0
website,route,apps/website/app/pricing/page.tsx,/pricing,Page,Primary content for Page,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,55,16,0,0,0,0,0,0
website,component,apps/website/app/pricing/pricing-client.tsx,,"Simple, transparent pricing","Reusable content for Simple, transparent pricing",Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,974,345,0,0,0,0,0,3
website,route,apps/website/app/privacy/page.tsx,/privacy,Page,Primary content for Page,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,46,16,0,0,0,0,0,0
website,component,apps/website/app/privacy/privacy-client.tsx,,Privacy Client,Reusable content for Privacy Client,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,596,153,0,0,0,0,0,0
website,route,apps/website/app/subprocessors/page.tsx,/subprocessors,Page,Primary content for Page,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,47,16,0,0,0,0,0,0
website,component,apps/website/app/subprocessors/subprocessors-client.tsx,,Subprocessors Client,Reusable content for Subprocessors Client,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,473,164,0,0,0,0,0,0
website,route,apps/website/app/terms/page.tsx,/terms,Page,Primary content for Page,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,46,15,0,0,0,0,0,0
website,component,apps/website/app/terms/terms-client.tsx,,Terms Client,Reusable content for Terms Client,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,668,144,0,0,0,0,0,0
website,component,apps/website/components/animated-noise.tsx,,Animated Noise,Reusable content for Animated Noise,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,205,81,0,0,0,0,0,0
website,component,apps/website/components/bitmap-chevron.tsx,,Bitmap Chevron,Reusable content for Bitmap Chevron,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,39,20,0,0,0,0,0,0
website,component,apps/website/components/colophon-section.tsx,,Colophon Section,Reusable content for Colophon Section,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,8,2,0,0,0,0,0,0
website,component,apps/website/components/commit-graph.tsx,,Commit Graph,Reusable content for Commit Graph,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Likely,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,1819,646,0,0,0,0,0,0
website,component,apps/website/components/core-features-section.tsx,,Core Features Section,Reusable content for Core Features Section,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,133,52,0,0,0,0,0,0
website,component,apps/website/components/cta-section.tsx,,Cta Section,Reusable content for Cta Section,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,464,147,0,0,0,0,0,0
website,component,apps/website/components/draw-text.tsx,,))},Reusable content for ))},Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,377,154,0,0,0,0,0,0
website,component,apps/website/components/features-accordion-section.tsx,,Features Accordion Section,Reusable content for Features Accordion Section,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,675,254,0,0,0,0,0,0
website,component,apps/website/components/footer.tsx,,Footer,Reusable content for Footer,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,374,159,0,0,0,0,0,0
website,component,apps/website/components/hero-section.tsx,,Hero Section,Reusable content for Hero Section,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,722,250,0,0,0,0,0,1
website,component,apps/website/components/highlight-text.tsx,,Highlight Text,Reusable content for Highlight Text,Prospective and evaluating customers,Verify during page review,See duplicate-content.csv,Verify during page review,Review,Review in context,Not workflow-bound,website,KEEP AND IMPROVE,206,95,0,0,0,0,0,0
