occurrences,content,locations,recommended_action
7,invalidate activity logs queryclientinvalidatequeries querykey,apps/app/lib/api/hooks/use-connection.ts | apps/app/lib/api/hooks/use-data-pipelines.ts | apps/app/lib/api/hooks/use-data-source.ts | apps/app/lib/api/hooks/use-data-sources.ts | apps/app/lib/api/hooks/use-destination-schemas.ts | apps/app/lib/api/hooks/use-organizations.ts | apps/app/lib/api/hooks/use-source-schemas.ts,MERGE WITH ANOTHER PAGE
4,unsupported for hubspot the supported connector path is dltbased hubspot existing postgresql only this file is retained as historical reference and must not be used as an acceptance test,md-docs/manual-testing/pipelines/saas/12-hubspot-to-mysql.md | md-docs/manual-testing/pipelines/saas/13-hubspot-to-mariadb.md | md-docs/manual-testing/pipelines/saas/14-hubspot-to-sqlite.md | md-docs/manual-testing/pipelines/saas/15-hubspot-to-cockroachdb.md,MERGE WITH ANOTHER PAGE
4,use postgresql destination connectionsdestinationspostgresql for the supported live destination workflow,apps/mantrixflow-docs/connections/destinations/cockroachdb.mdx | apps/mantrixflow-docs/connections/destinations/mariadb.mdx | apps/mantrixflow-docs/connections/destinations/mysql.mdx | apps/mantrixflow-docs/connections/destinations/sqlite.mdx,MERGE WITH ANOTHER PAGE
4,use postgresql source connectionssourcesdatabasepostgresql for the supported live source workflow,apps/mantrixflow-docs/connections/sources/database/cockroachdb.mdx | apps/mantrixflow-docs/connections/sources/database/mariadb.mdx | apps/mantrixflow-docs/connections/sources/database/mysql.mdx | apps/mantrixflow-docs/connections/sources/database/sqlite.mdx,MERGE WITH ANOTHER PAGE
4,invalidate global search queryclientinvalidatequeries querykey,apps/app/lib/api/hooks/use-data-pipelines.ts | apps/app/lib/api/hooks/use-data-sources.ts | apps/app/lib/api/hooks/use-destination-schemas.ts | apps/app/lib/api/hooks/use-source-schemas.ts,MERGE WITH ANOTHER PAGE
3,create table if not exists analyticsorders live id bigint primary key customer id bigint order status text total amount numeric created at timestamptz updated at timestamptz,apps/mantrixflow-docs/connections/destinations/postgresql.mdx | apps/mantrixflow-docs/example/pipelines/postgres-to-postgres.mdx | apps/mantrixflow-docs/getting-started/quick-start.mdx,MERGE WITH ANOTHER PAGE
3,no dlt tables select table name from information schematables where table schema analytics and table name like dlt must return 0 rows,md-docs/manual-testing/destinations/cockroachdb.md | md-docs/manual-testing/destinations/mariadb.md | md-docs/manual-testing/destinations/mysql.md,MERGE WITH ANOTHER PAGE
3,rule table column target rename publicorders status order status cast publicorders total amount numeric,apps/mantrixflow-docs/example/pipelines/postgres-to-postgres.mdx | apps/mantrixflow-docs/pipelines/normalisation.mdx | apps/mantrixflow-docs/user-guide/transformations-and-branches.mdx,MERGE WITH ANOTHER PAGE
3,use connections overview connectionsoverview for the supported live connector list,apps/mantrixflow-docs/connections/sources/developer-tools/github.mdx | apps/mantrixflow-docs/connections/sources/ecommerce/shopify.mdx | apps/mantrixflow-docs/connections/sources/productivity/notion.mdx,MERGE WITH ANOTHER PAGE
2,stream 19 stripecustomers bank accounts create table analyticsstripe bank accounts account id varchar255 primary key customer ref varchar255 bank name varchar255 routing num varchar50 last4 varchar10 account type varchar50 acct status varchar50 currency varchar10 engineinnodb,md-docs/manual-testing/pipelines/saas/02-stripe-to-mysql.md | md-docs/manual-testing/pipelines/saas/03-stripe-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,create table analyticsshopify orders order id bigint primary key customer email varchar255 order total decimal102 currency varchar10 order status varchar50 fulfil status varchar50 ship city varchar255 ship country varchar10 item count int ordered on date engineinnodb,md-docs/manual-testing/pipelines/saas/07-shopify-to-mysql.md | md-docs/manual-testing/pipelines/saas/08-shopify-to-mariadb.md,MERGE WITH ANOTHER PAGE
2,sql create table analyticshs contacts contact id varchar255 primary key email varchar255 full name varchar500 phone varchar50 lead status varchar100 lifecycle varchar100 owner id varchar255 created on date updated on date engineinnodb default charsetutf8mb4,md-docs/manual-testing/pipelines/saas/12-hubspot-to-mysql.md | md-docs/manual-testing/pipelines/saas/13-hubspot-to-mariadb.md,MERGE WITH ANOTHER PAGE
